time;open;high;low;close;Volume
"2024-12-01 08:00:00";8.6021776103;9.8707137957;8.2033127467;9.1222299021;323046720.2
"2024-12-02 08:00:00";9.4910663862;9.6431552585;7.2118354483;8.2633586852;281346298.52
"2024-12-03 08:00:00";8.4151919752;11.780560046;7.7483288903;11.2774769804;215417756.83
"2024-12-04 08:00:00";11.082694665;13.1894750229;10.7547175603;11.6086624913;298479635.78
"2024-12-05 08:00:00";11.530895467;13.9283783506;10.4525297111;11.9722865368;267028562.5
"2024-12-06 08:00:00";12.6547722175;14.3751379926;12.3340552087;14.1200702725;178856820.02
"2024-12-07 08:00:00";13.8035961324;14.9875087812;13.5588617012;14.3404159367;158691227.98
"2024-12-08 08:00:00";13.9077741247;14.6097868767;13.4705001158;14.1466397173;116448278.3
"2024-12-09 08:00:00";14.0728848691;14.3857154153;12.1784298512;12.9825316285;221067779.23
"2024-12-10 08:00:00";13.5139835032;14.3962485271;12.630331133;13.8583235137;182818832.46
"2024-12-11 08:00:00";13.627176481;16.5381504525;13.0366846901;16.2007747637;171502694.22
"2024-12-12 08:00:00";16.1249317078;18.7415269092;15.6654404251;17.8406179364;243826474.11
"2024-12-13 08:00:00";18.1093029319;19.5653922075;16.9892964595;19.222276393;174305214.51
"2024-12-14 08:00:00";19.4579157793;24.012797801;19.0762216432;24.0094401142;340444797.3
"2024-12-15 08:00:00";24.3396411548;25.003475464;21.1691339864;23.7926999438;376645257.61
"2024-12-16 08:00:00";23.9574557153;28.464002362;23.1154929662;27.0032664146;352059147.67
"2024-12-17 08:00:00";27.0032664146;28.9692798948;24.2074825183;25.6890046724;422974368.73
"2024-12-18 08:00:00";25.6889455573;27.4071958101;22.9144460848;23.5096601747;439048818.46
"2024-12-19 08:00:00";23.5096601747;27.1662176343;22.0835211042;25.2234602668;499349143.53
"2024-12-20 08:00:00";25.2234572164;31.5928078805;22.9523486523;29.8361281835;570860570.25
"2024-12-21 08:00:00";29.8361281835;35.0184042719;29.0530065626;32.3027888468;496083332.72
"2024-12-22 08:00:00";32.3027888468;34.9532043297;27.4976330044;28.1122883718;506187358.73
"2024-12-23 08:00:00";28.1122883718;29.7631840312;25.3469711934;28.5043029467;674320744.52
