time;open;high;low;close;Volume
"2025-08-11 08:00:00";0.8474581407;0.8796582294;0.8048995808;0.8514919334;86942.81
"2025-08-12 08:00:00";0.8514919334;0.8514919334;0.8127374174;0.8220474958;132065.78
"2025-08-13 08:00:00";0.8220474958;0.8665504131;0.8220474958;0.8575235785;126233.76
"2025-08-14 08:00:00";0.8575235785;0.8931135894;0.8381742989;0.8760869353;168049.84
"2025-08-15 08:00:00";0.8760869353;1.5253260293;0.8335923693;0.84290063;474316.41
"2025-08-16 08:00:00";0.84290063;0.9399938813;0.7727430984;0.7844577748;544643.55
"2025-08-17 08:00:00";0.7844577748;0.8117246768;0.724328391;0.7250147129;2239734.65
"2025-08-18 08:00:00";0.7250147129;1.5253260293;0.7250147129;0.9726851784;3888332.45
"2025-08-19 08:00:00";0.9726851784;1.0034704565;0.8830475606;0.8830475606;384130.14
"2025-08-20 08:00:00";0.8830475606;8080.5413407727;0.8754326754;1.0145389672;NaN
"2025-08-21 08:00:00";1.0145389672;1.2115860108;0.9589484077;0.9772648568;244474.93
"2025-08-22 08:00:00";0.9772648568;1.2236235118;0.9772648568;1.2191652314;NaN
"2025-08-23 08:00:00";1.2191652314;1.4551156395;1.1393832778;1.4172019369;158686.86
"2025-08-24 08:00:00";1.4172019369;1.4334741109;1.2328150782;1.2361643168;93428.36
"2025-08-25 08:00:00";1.2361643168;7324.7980908869;1.1976915839;1.1976915839;NaN
"2025-08-26 08:00:00";1.1976915839;1.6030558102;1.189367336;1.5644510665;277281.23
"2025-08-27 08:00:00";1.5644510665;1.7647660322;1.5558339179;1.7604281486;226777.4
"2025-08-28 08:00:00";1.7604281486;1.7865345723;1.7121495049;1.7702550727;NaN
"2025-08-29 08:00:00";1.7702550727;1.7782193145;1.6676146406;1.6680025603;61483.61
"2025-08-30 08:00:00";1.6680025603;1.6680055385;1.6477109686;1.6610642336;11183.9
"2025-08-31 08:00:00";1.6610642336;1.6746383725;1.6545646104;1.6560467543;25775.94
"2025-09-01 08:00:00";1.6560467543;1.6909749156;1.6255060816;1.6658224966;26335.78
"2025-09-02 08:00:00";1.6658224966;1.6994747637;1.5776621071;1.5776621071;NaN
"2025-09-03 08:00:00";1.5776621071;1.6592552991;1.5725531391;1.6506025743;NaN
