time;open;high;low;close;Volume
"2025-04-23 08:00:00";0.1753041709;0.1811896688;0.1728158286;0.1776028381;11025424.04
"2025-04-24 08:00:00";0.1775816138;0.1778259037;0.1637234801;0.1667425507;7682823.54
"2025-04-25 08:00:00";0.1667425421;0.1696702836;0.1609347429;0.1616577433;9153296.05
"2025-04-26 08:00:00";0.1616584436;0.1623937239;0.157651366;0.1594654096;8667968.16
"2025-04-27 08:00:00";0.1594906972;0.1600482812;0.1489277893;0.1499993548;5796627.83
"2025-04-28 08:00:00";0.1499997266;0.1513530954;0.1461962571;0.1463816329;8396341.56
"2025-04-29 08:00:00";0.1463816286;0.1468038133;0.1382359689;0.1389118363;7887613.37
"2025-04-30 08:00:00";0.1389118453;0.157425573;0.1365982158;0.1551910697;8605602.07
"2025-05-01 08:00:00";0.1551910697;0.166291116;0.1532377933;0.1642086606;8429481.67
"2025-05-02 08:00:00";0.1642106579;0.1751732644;0.1599783825;0.1751732644;5893891.94
"2025-05-03 08:00:00";0.175173407;0.1811562647;0.1729838227;0.1765223402;5745891.42
"2025-05-04 08:00:00";0.1765223355;0.1780291437;0.1722848462;0.1738254389;4938502.85
"2025-05-05 08:00:00";0.1738253061;0.1793362835;0.1677718234;0.1791626517;6384588.56
"2025-05-06 08:00:00";0.1791626517;0.2940974046;0.1790304548;0.2162727371;133844467
"2025-05-07 08:00:00";0.2162929203;0.2628553274;0.1969838987;0.225517989;112064169.36
"2025-05-08 08:00:00";0.225517989;0.2418406122;0.2094551752;0.2265500258;62075464.21
"2025-05-09 08:00:00";0.2265500258;0.248000908;0.2174962881;0.2435283162;69069996.17
"2025-05-10 08:00:00";0.2435283162;0.2983289986;0.2350053493;0.2869030703;121128531.58
"2025-05-11 08:00:00";0.2868975147;0.3174900391;0.2629112625;0.2728238117;87043785.53
"2025-05-12 08:00:00";0.2728254193;0.2859205339;0.2343249702;0.2472544441;63966427.4
"2025-05-13 08:00:00";0.2472544441;0.2725045351;0.2343506561;0.2723381369;56743764
"2025-05-14 08:00:00";0.2723381369;0.3202763078;0.2652004273;0.3160952699;153816592.87
"2025-05-15 08:00:00";0.3157838374;0.3288812893;0.2635748489;0.3253257781;152347036.21
"2025-05-16 08:00:00";0.325321166;0.3556786777;0.3201575734;0.3371012308;162243421.08
"2025-05-17 08:00:00";0.3370894661;0.3792531368;0.3242484523;0.3481191015;116529699.27
"2025-05-18 08:00:00";0.3481135459;0.3845609797;0.3434699272;0.3680476159;94246878.01
"2025-05-19 08:00:00";0.3680642403;0.3680642403;0.312044529;0.334826997;89056577
"2025-05-20 08:00:00";0.3348287493;0.3816598322;0.3322548669;0.3602791427;117562419.73
"2025-05-21 08:00:00";0.3602791427;0.361801665;0.3373225254;0.3409723551;66658151.5
