Date,Basket_value_norm,Basket_cum_return_pct
2024-12-31,1.0,0.0
2025-01-31,1.1259635653226274,12.596356532262742
2025-02-28,0.8378417534616415,-16.215824653835853
2025-03-31,0.5433497652157084,-45.665023478429156
2025-04-30,0.8360489765964518,-16.395102340354818
2025-05-31,1.373883188940672,37.3883188940672
2025-06-30,1.8118223201841281,81.18223201841282
2025-07-31,1.607424994454973,60.7424994454973
2025-08-31,2.3671138062444745,136.71138062444746
2025-09-30,2.527090611594196,152.7090611594196
2025-10-31,5.929581490048813,492.9581490048813
2025-11-30,5.027030116230808,402.7030116230808
2025-12-31,4.554719525914443,355.4719525914443
